filename,mfcc_mean1,mfcc_mean2,mfcc_mean3,mfcc_mean4,mfcc_mean5,mfcc_mean6,mfcc_mean7,mfcc_mean8,mfcc_mean9,mfcc_mean10,mfcc_mean11,mfcc_mean12,mfcc_mean13,mfcc_mean14,mfcc_mean15,mfcc_mean16,mfcc_mean17,mfcc_mean18,mfcc_mean19,mfcc_mean20,mfcc_std1,mfcc_std2,mfcc_std3,mfcc_std4,mfcc_std5,mfcc_std6,mfcc_std7,mfcc_std8,mfcc_std9,mfcc_std10,mfcc_std11,mfcc_std12,mfcc_std13,mfcc_std14,mfcc_std15,mfcc_std16,mfcc_std17,mfcc_std18,mfcc_std19,mfcc_std20,cent_mean,cent_std,cent_skew,rolloff_mean,rolloff_std,label
1.wav,-434.25348,90.37959,-3.9158766,43.63067,-38.00308,-5.3706117,-16.90002,-17.230892,-9.970771,-11.122877,-11.369469,-7.8321795,-3.9175365,-5.481304,-6.5989265,-10.404164,5.8978395,-1.2029371,3.9692082,8.016872,109.00893,48.540943,37.465546,32.811527,34.28592,18.54948,19.004917,14.646011,11.031259,9.080102,10.54158,8.628468,8.4379,6.7652187,7.3612766,12.428332,13.159378,14.172753,16.917065,17.758728,1754.01405871092,1044.8602368976549,1.4624209054109578,3411.6668701171875,1624.6056314485102,D:\datasets\Adults
10.wav,-469.7756,157.03018,32.032063,32.543926,-15.7757635,25.882975,-22.458164,6.869285,-10.494295,4.1400776,-11.012273,-10.736674,11.415233,-13.420963,8.904175,-7.1673007,4.784378,-3.1399236,0.18150768,2.966698,58.520496,50.438293,26.997274,21.900778,26.513792,23.309568,14.349522,9.854146,13.3968525,9.130523,9.357908,10.718366,8.633016,8.765515,8.970773,5.6989517,6.405437,5.437389,7.1248884,5.0966926,1378.801602676457,1180.5903378083215,2.1104409152516674,2489.9261474609375,2213.1669308155033,D:\datasets\Adults
100.wav,-381.21576,155.33546,-15.030327,33.225716,-6.575864,23.087461,10.904951,4.9498897,-1.4950044,0.5257113,-2.679423,-10.4289875,1.484225,-0.86179507,13.470961,-0.40613982,-3.4957924,4.230867,-0.6769666,1.0200496,132.60384,57.193222,41.104237,30.377514,21.626581,6.875822,11.633262,9.5802765,9.487878,6.2137623,10.001634,12.38895,7.892315,9.770483,5.1330776,6.6235123,9.190381,4.4491544,4.7195573,4.908677,1135.0477489585503,486.9896364658536,1.3033275885137536,2385.9495069159834,1236.5923556250345,D:\datasets\Adults
1000.wav,-341.76132,130.20918,-25.909733,39.746918,-10.624496,36.892975,-1.684379,21.4847,0.50567955,1.0753839,-0.24919753,-7.2298765,7.832194,-4.2463126,7.19311,-4.8369007,6.239605,-3.7341855,2.1204803,3.3046947,58.37695,35.539253,23.859047,24.290237,10.7911415,12.184873,18.945404,12.30476,6.2532887,7.0676036,5.4403934,6.680382,6.9869576,6.4154043,6.76198,5.1190476,5.359795,5.3299146,4.9950104,4.7039614,1604.9237662402506,662.1175678120042,0.6881280180608482,3363.0329975328946,1365.8042473510438,D:\datasets\Adults
1001.wav,-466.1853,167.19386,-8.805096,41.006035,-19.443771,7.800079,-12.075039,-1.9233406,-7.194507,-2.0336075,8.097757,-2.0775523,0.8719747,-10.115785,5.038076,-8.110447,-2.5436811,1.3070492,-5.236462,2.9596517,94.50703,54.41364,33.763313,23.843658,20.71657,16.32959,20.100424,10.593373,9.805826,6.3084893,7.8816004,6.2832885,6.3101954,7.5389886,9.167915,7.337181,7.38176,5.8996177,5.7556868,6.8985496,1331.5884506220157,749.322997586366,0.9605511785778682,2583.7954872532896,1671.2940040012159,D:\datasets\Adults
1002.wav,-369.36887,126.3766,-3.1301994,68.87911,5.4106154,11.355759,-21.72209,6.774812,-10.99267,-3.8933032,1.7698618,-7.515924,1.939636,-9.174935,1.4185134,-1.6487283,5.769504,-3.6144602,7.408427,-2.8093133,113.24054,65.22793,27.10113,30.17162,26.51619,29.492626,16.442337,11.696546,11.145289,11.592378,9.537785,8.995692,9.164384,9.990185,12.7899065,8.263744,6.1858773,8.676159,5.788861,5.9033613,1620.919739951574,1239.858665208048,1.3303523100501384,3168.1686401367188,1914.6713782977586,D:\datasets\Adults
1003.wav,-225.19472,112.662865,-6.136576,43.89296,-24.680237,15.975243,-17.66173,15.026077,-8.6184,2.035827,0.5700305,-1.2561477,6.9677978,-5.857403,12.301822,-6.2055397,6.14957,-5.782772,0.9690427,-1.9230661,41.829586,32.031693,12.712642,19.359013,19.478987,16.132504,9.304324,8.955998,8.881916,9.53681,6.8108335,6.814071,6.0871506,6.598349,4.898256,6.0035024,6.39802,4.9852433,4.7499094,4.306721,1804.275988755105,732.9551701001277,1.2889391974993856,3892.855453491211,1665.9647358670381,D:\datasets\Adults
1004.wav,-364.585,163.0523,8.451234,49.862858,-13.935537,12.00794,-27.49107,-0.62998104,-8.66323,-9.624545,-0.24390903,-11.181989,-2.4812934,-10.248,5.6089635,-7.6260195,-1.654881,-2.952125,-5.5174074,-4.2114515,69.161125,55.65882,40.386124,29.722599,26.997509,24.794336,15.810707,14.927092,10.363914,9.377052,9.876027,8.828124,10.005713,7.1202226,6.7209225,7.064894,7.8138666,6.064782,5.05607,6.147249,1304.5018735138954,1136.7054246647608,1.8955770330339212,2402.811834161932,2087.2277082183514,D:\datasets\Adults
1005.wav,-210.29773,138.10983,-32.452183,40.20131,-27.123594,15.693397,-18.568243,-7.4875927,-17.096289,-8.744714,-10.108317,-11.869982,-2.3609598,-12.953742,3.5076334,-11.403386,-3.4184527,-8.468837,-3.467694,-7.263093,56.846603,44.09359,25.153336,23.32735,20.668434,17.902039,15.071188,15.149916,8.150778,8.329665,9.253563,8.307783,5.668828,6.7409143,7.8254285,7.192618,6.6707554,6.638496,6.2504897,5.6006975,1742.7667684825342,1005.5785748898222,1.4373669814594499,3235.712687174479,1653.595591079411,D:\datasets\Adults
1006.wav,-456.81656,115.915215,-0.6910394,-3.7573006,-29.249496,-13.259225,0.38012376,-20.226456,-22.941206,-10.883681,-9.236028,-12.078065,-15.539911,-11.21039,-4.455657,-9.189528,-4.012452,-4.3180156,-3.2140722,-0.7549722,83.51128,63.42691,42.672787,26.44363,18.40436,16.33822,11.271865,15.813786,17.365734,14.566654,12.702389,13.872182,10.704197,7.314186,12.164549,9.60147,9.850289,8.227434,6.9784594,6.1562176,1544.788854675604,891.8659650827466,0.5363691880429581,2758.8394358188293,1527.2578293840743,D:\datasets\Adults
